SNR,M_03_GN0.01,M_05_GN0.0001,M_04_GN0.005,M_06GN0.1,M_01GN0.015,M_02GN0.02
-20,0.205973864,0.20970753,0.173615432,0.210952085,0.156191661,0.192906036
-18,0.14384858,0.121766562,0.134384858,0.147003155,0.136908517,0.155835962
-16,0.162306778,0.156361474,0.16587396,0.171224732,0.163495838,0.145065398
-14,0.223676012,0.211214953,0.2105919,0.212461059,0.207476636,0.195015576
-12,0.274758454,0.270531401,0.269323671,0.268719807,0.246980676,0.25
-10,0.362887904,0.348321723,0.372387587,0.357188094,0.366054465,0.348955035
-8,0.57176891,0.553901132,0.556879095,0.554496724,0.570577725,0.540202501
-6,0.745364648,0.742274413,0.741038319,0.729295426,0.760197775,0.737330037
-4,0.822466107,0.836668819,0.84506133,0.814719174,0.84506133,0.81278244
-2,0.948985864,0.934234788,0.94345421,0.929317763,0.944068838,0.924400738
0,0.922608166,0.918342474,0.907373553,0.904936015,0.914686167,0.908592322
2,0.916666667,0.928571429,0.917919799,0.929197995,0.9160401,0.931077694
4,0.935951662,0.951057402,0.937160121,0.954682779,0.928700906,0.957099698
6,0.950532248,0.951158422,0.924232937,0.955541641,0.9323732,0.9492799
8,0.90116636,0.916513198,0.913443831,0.89073051,0.893799877,0.92203806
10,0.929225137,0.953020134,0.953630262,0.922513728,0.956070775,0.928615009
12,0.965180208,0.967012828,0.95357361,0.94318876,0.961514966,0.94318876
14,0.897894065,0.890874282,0.901084876,0.906190172,0.892150606,0.910657307
16,0.947206875,0.950276243,0.937384899,0.944751381,0.937384899,0.942295887
18,0.965749235,0.972477064,0.965749235,0.966360856,0.964525994,0.963302752
