SNR,ACCURACY_M1,ACCURACY_M2,ACCURACY_M3,ACCURACY_M4,ACCURACY_M5,ACCURACY_M6,ACCURACY_M7,ACCURACY_M8,ACCURACY_M9,ACCURACY_M10,ACCURACY_M11,ACCURACY_M12
-20,0.067803661,0.152457996,0.146235221,0.15890183,0.162414437,0.159303049,0.205,0.1625,0.199128811,0.180460485,0.180460485,0.177349098
-18,0.082945408,0.158990536,0.142586751,0.154464664,0.145741325,0.129968454,0.146689019,0.140821459,0.131861199,0.145741325,0.156466877,0.131861199
-16,0.068655497,0.145659929,0.14803805,0.153248876,0.140309156,0.161712247,0.135686275,0.165490196,0.158739596,0.151605232,0.156956005,0.162901308
-14,0.072177419,0.17694704,0.168224299,0.17983871,0.190654206,0.1894081,0.178981938,0.170771757,0.218691589,0.197507788,0.204361371,0.190031153
-12,0.110791957,0.220410628,0.209541063,0.192449733,0.253623188,0.221014493,0.253682488,0.212765957,0.268719807,0.256038647,0.240942029,0.23852657
-10,0.23880597,0.346421786,0.311589614,0.3026534,0.328689044,0.348321723,0.347359736,0.320132013,0.376820773,0.34768841,0.343255225,0.352754908
-8,0.384896468,0.512805241,0.523525908,0.450263906,0.526503871,0.564621799,0.56518283,0.536565978,0.569982132,0.556879095,0.574746873,0.53305539
-6,0.585678808,0.688504326,0.695302843,0.63410596,0.731767614,0.739184178,0.755976917,0.709810387,0.737948084,0.74289246,0.744746601,0.729295426
-4,0.695652174,0.761781795,0.786313751,0.763104429,0.799225307,0.826339574,0.834183673,0.762755102,0.856036152,0.81859264,0.863137508,0.836668819
-2,0.794514941,0.88690842,0.918869084,0.855096193,0.919483712,0.937922557,0.947325103,0.89218107,0.939151813,0.929932391,0.938537185,0.918254456
0,0.831703341,0.891529555,0.892748324,0.890790546,0.926264473,0.895795247,0.938925081,0.885993485,0.914686167,0.910420475,0.909811091,0.919561243
2,0.827852213,0.894736842,0.915413534,0.878603329,0.906641604,0.89160401,0.922881356,0.900847458,0.894110276,0.895363409,0.917293233,0.929824561
4,0.884457237,0.911178248,0.954682779,0.916529605,0.961933535,0.943806647,0.957108817,0.916600477,0.914199396,0.911178248,0.950453172,0.934138973
6,0.863655374,0.902316844,0.947401378,0.924299456,0.962429555,0.943018159,0.911616162,0.962962963,0.9492799,0.950532248,0.951784596,0.951158422
8,0.824489796,0.904849601,0.887047268,0.87755102,0.898096992,0.869858809,0.917577796,0.877207738,0.895641498,0.90300798,0.893799877,0.910374463
10,0.897360704,0.913361806,0.915802318,0.933389191,0.924344112,0.960341672,0.940080972,0.930364372,0.93166565,0.929225137,0.936546675,0.927394753
12,0.913585376,0.930360415,0.950519243,0.945575405,0.954795357,0.984117288,0.913290113,0.961102107,0.964569334,0.965791081,0.937690898,0.952351863
14,0.826568266,0.895341417,0.873643906,0.881918819,0.874282068,0.861518826,0.90373444,0.88879668,0.894703255,0.895979579,0.892150606,0.895341417
16,0.861156352,0.933701657,0.918354819,0.916530945,0.933087784,0.957642726,0.972361809,0.934673367,0.939226519,0.943523634,0.942909761,0.937384899
18,0.920845421,0.922324159,0.939449541,0.952755906,0.94617737,0.96941896,0.96872428,0.960493827,0.971865443,0.968807339,0.966972477,0.962691131
